BookingID,ArrivalYear,ArrivalMonth,ArrivalWeekNumber,ArrivalDayOfMonth,ArrivalHour,WeekendStays,WeekdayStays,Adults,Children,Babies,FirstTimeGuest,AffiliatedCustomer,PreviousReservations,PreviousStays,PreviousCancellations,DaysUntilConfirmation,OnlineReservation,BookingChanges,BookingToArrivalDays,ParkingSpacesBooked,SpecialRequests,PartOfGroup,CompanyReservation,OrderedMealsPerDay,FloorReserved,FloorAssigned,DailyRateEuros,DailyRateUSD,%PaidinAdvance,CountryofOriginAvgIncomeEuros (Year-2),CountryofOriginAvgIncomeEuros (Year-1),CountryofOriginHDI (Year-1),Canceled
35160,2016,7,28,5,19.5,0,1,1,0.0,0,1,0,0,0,0,0,1,0,4,0,1,0,1,1,6,6,151.0,149.49,0.0,40141.59,40833.24,0.898,0
37296,2016,6,24,10,18.75,1,2,2,0.0,0,1,0,0,0,0,0,1,0,98,0,2,0,1,0,6,6,116.1,114.939,0.0,49233.22,50302.07,0.926,0
35579,2016,1,4,21,22.0,0,3,2,0.0,0,1,0,0,0,0,0,1,1,14,0,0,0,1,1,5,5,79.25,78.4575,0.0,28742.44,29668.86,0.842,0
17139,2016,5,22,24,23.75,1,5,2,0.0,0,1,0,0,0,0,0,1,0,133,1,1,0,1,1,3,3,127.15,125.8785,0.0,41259.0,42509.89,0.918,0
26137,2016,12,50,8,18.75,1,3,2,0.0,0,1,0,0,0,0,0,1,0,60,0,2,0,1,1,6,6,88.4,87.516,0.0,36194.87,36909.33,0.876,1
25182,2016,4,16,13,21.25,0,3,2,2.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,203.33,201.29670000000002,0.0,28742.44,29668.86,0.842,0
21043,2016,6,27,28,22.25,2,6,3,0.0,0,1,0,0,0,0,0,1,0,123,0,0,0,1,1,6,6,126.86,125.5914,0.0,55032.96,56803.47,0.92,1
10191,2016,3,11,11,22.25,1,2,2,0.0,0,1,0,0,0,0,0,1,0,62,0,1,0,1,1,6,6,60.29,59.6871,0.0,55032.96,56803.47,0.92,0
35661,2016,10,43,19,23.5,0,1,1,0.0,0,0,0,8,8,0,0,0,0,16,1,2,0,1,1,6,6,98.0,97.02,0.0,28742.44,29668.86,0.842,0
29546,2016,5,19,6,17.5,1,2,3,0.0,0,1,0,0,0,0,0,1,0,48,0,0,0,1,1,3,2,159.3,157.70700000000002,0.0,41259.0,42509.89,0.918,0
21566,2016,8,34,16,15.0,0,1,2,0.0,0,1,0,0,0,0,0,1,0,8,0,2,0,1,1,6,6,170.0,168.3,0.0,40141.59,40833.24,0.898,0
24157,2016,12,53,26,16.75,3,7,2,0.0,0,1,0,0,0,0,0,1,0,261,0,0,0,1,0,6,6,68.51,67.8249,0.0,16358.39,15813.86,0.757,1
37882,2016,8,35,21,21.5,1,0,2,0.0,0,1,0,0,0,0,0,1,0,38,0,0,0,1,0,6,6,125.1,123.84899999999999,0.0,28742.44,29668.86,0.842,1
16758,2016,6,24,10,14.0,2,4,2,1.0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,1,3,3,145.25,143.79749999999999,0.0,41757.4,42535.48,0.915,1
19304,2016,6,27,27,17.25,1,2,2,0.0,0,1,0,0,0,0,0,1,0,144,0,1,0,1,1,6,6,96.3,95.337,0.0,40141.59,40833.24,0.898,0
16104,2016,6,24,11,17.25,2,1,2,2.0,0,1,0,0,0,0,0,1,0,36,0,0,0,1,1,1,1,209.7,207.60299999999998,0.0,47045.65,48975.0,0.929,1
32970,2016,10,43,16,14.5,1,0,1,0.0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,6,6,120.0,118.8,0.0,33587.58,35760.73,0.898,0
15855,2016,8,34,14,14.5,2,1,3,0.0,0,1,0,0,0,0,0,1,0,19,0,1,0,1,1,3,3,191.0,189.09,0.0,41259.0,42509.89,0.918,1
38208,2016,3,12,19,23.25,0,1,2,0.0,0,1,0,0,0,0,0,1,1,72,0,0,0,1,1,5,5,78.15,77.36850000000001,0.0,28742.44,29668.86,0.842,1
13645,2016,5,21,18,20.25,0,1,1,0.0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,6,2,163.18,161.5482,0.0,28742.44,29668.86,0.842,1
31555,2016,8,35,24,20.5,0,3,2,0.0,0,1,0,0,0,0,0,1,0,182,0,0,0,1,1,6,6,88.5,87.615,0.0,47011.55,47683.79,0.933,1
32771,2016,12,52,23,20.5,2,2,2,0.0,0,1,0,0,0,0,0,1,0,115,0,0,0,1,1,2,2,91.12,90.20880000000001,0.0,61902.13,63938.99,0.942,0
25760,2016,5,19,7,21.75,2,3,2,0.0,0,1,0,0,0,0,0,1,0,18,0,0,0,1,1,3,3,138.0,136.62,0.0,40141.59,40833.24,0.898,1
14422,2016,7,31,24,19.25,2,3,2,0.0,0,1,0,0,0,0,0,1,0,67,0,3,0,1,1,6,6,105.3,104.247,0.0,33525.74,34912.48,0.885,0
26967,2016,11,46,10,22.25,0,3,2,0.0,0,1,0,0,0,0,0,0,0,38,0,0,0,1,1,6,6,145.0,143.55,0.0,41757.4,42535.48,0.915,0
13474,2016,4,17,23,22.5,2,4,2,2.0,0,1,0,0,0,0,0,1,0,98,0,0,0,1,1,1,1,167.45,165.7755,0.0,40141.59,40833.24,0.898,1
11989,2016,12,53,25,19.75,2,5,2,0.0,0,1,0,0,0,0,0,1,0,257,0,2,0,1,1,6,6,78.81,78.0219,0.0,7507.24,7822.97,0.655,1
12847,2016,5,22,24,15.5,0,1,1,0.0,0,0,0,5,4,1,0,0,0,5,1,0,0,1,1,6,6,67.0,66.33,0.0,28742.44,29668.86,0.842,0
12088,2016,8,35,25,20.5,0,2,2,0.0,0,1,0,0,0,0,0,1,0,129,1,0,0,1,1,3,3,118.8,117.612,0.0,33525.74,34912.48,0.885,0
39085,2016,3,12,18,18.25,0,2,2,0.0,0,1,0,0,0,0,0,1,0,65,0,0,0,1,0,6,6,94.5,93.55499999999999,0.0,33525.74,34912.48,0.885,1
27422,2016,6,27,27,18.5,1,2,2,0.0,0,1,0,0,0,0,0,1,0,59,0,0,0,1,0,6,6,101.1,100.089,0.0,55032.96,56803.47,0.92,1
15088,2016,8,33,11,20.0,0,1,2,0.0,0,1,0,0,0,0,0,1,0,156,0,0,0,1,0,6,6,103.5,102.465,0.0,40141.59,40833.24,0.898,1
25405,2016,7,29,14,20.5,2,4,2,1.0,0,1,0,0,0,0,0,1,0,132,0,0,0,1,1,6,6,114.75,113.60249999999999,0.0,40141.59,40833.24,0.898,1
34920,2016,3,11,9,20.5,0,1,1,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,6,6,89.0,88.11,0.0,33525.74,34912.48,0.885,0
21297,2016,10,42,9,18.75,1,0,2,0.0,0,1,0,0,0,0,0,1,0,104,0,1,0,1,0,6,5,108.0,106.92,0.0,40141.59,40833.24,0.898,1
27243,2016,5,22,28,22.0,0,1,2,0.0,0,1,0,0,0,0,0,1,0,13,0,2,0,1,1,3,6,156.0,154.44,0.0,33525.74,34912.48,0.885,0
29223,2016,10,42,10,21.25,1,2,2,0.0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,1,6,6,90.0,89.1,0.0,28742.44,29668.86,0.842,0
23809,2016,9,38,15,20.0,0,3,2,0.0,0,1,0,0,0,0,0,1,0,116,0,2,0,1,1,6,6,129.6,128.304,0.0,47011.55,47683.79,0.933,0
38545,2016,10,41,4,21.5,0,3,2,0.0,0,1,0,0,0,0,0,1,1,53,0,2,0,1,1,6,3,118.8,117.612,0.0,44929.69,46213.27,0.913,0
13620,2016,4,18,28,16.0,1,3,2,1.0,0,1,0,0,0,0,0,1,0,54,0,0,0,1,2,6,6,180.68,178.8732,0.0,36194.87,36909.33,0.876,1
23650,2016,9,37,8,21.75,0,3,2,0.0,0,1,0,0,0,0,0,1,0,204,0,1,0,1,1,6,6,126.9,125.631,0.0,61902.13,63938.99,0.942,0
25205,2016,3,14,31,16.75,2,3,2,0.0,0,1,0,0,0,0,0,1,0,14,0,0,0,1,1,3,3,140.0,138.6,0.0,61902.13,63938.99,0.942,0
16353,2016,8,34,20,14.25,2,1,2,0.0,0,1,0,0,0,0,0,1,3,101,0,2,0,1,1,5,5,109.83,108.7317,0.0,36194.87,36909.33,0.876,0
11805,2016,7,31,26,23.75,0,3,2,0.0,0,1,0,0,0,0,0,1,2,62,0,1,0,1,1,6,6,114.3,113.157,0.0,33525.74,34912.48,0.885,1
17669,2016,2,8,14,21.0,2,2,2,0.0,0,1,0,0,0,0,0,1,0,99,0,2,0,1,1,5,5,79.5,78.705,0.0,47011.55,47683.79,0.933,0
11469,2016,5,21,19,21.5,2,4,2,0.0,0,1,0,0,0,0,0,1,0,93,0,1,0,1,1,3,3,132.6,131.274,0.0,40141.59,40833.24,0.898,0
19041,2016,10,44,26,20.75,0,1,1,0.0,0,1,0,0,0,0,0,1,2,26,0,0,0,1,1,6,6,99.2,98.208,0.0,28742.44,29668.86,0.842,1
35470,2016,1,3,10,23.25,2,2,2,0.0,0,1,0,0,0,0,0,1,0,79,0,0,0,1,1,6,6,70.0,69.3,0.0,28742.44,29668.86,0.842,1
10189,2016,4,15,5,17.0,0,4,2,0.0,0,1,0,0,0,0,0,1,0,120,0,0,0,1,1,2,2,94.86,93.9114,0.0,47011.55,47683.79,0.933,0
17973,2016,7,31,26,17.5,0,4,2,0.0,0,1,0,0,0,0,0,1,0,135,0,0,0,1,0,6,6,89.25,88.3575,0.0,44929.69,46213.27,0.913,1
21074,2016,12,50,7,14.0,0,3,0,2.0,0,1,0,0,0,0,0,1,1,56,0,1,0,1,1,5,6,82.44,81.6156,0.0,36194.87,36909.33,0.876,0
19020,2016,9,40,26,15.75,1,1,2,0.0,0,1,0,0,0,0,0,1,0,51,0,2,0,1,1,6,6,135.9,134.541,0.0,34212.94,35436.81,0.901,1
13040,2016,6,26,24,21.5,0,2,2,0.0,0,1,0,0,0,0,61,1,0,235,0,1,0,1,1,6,3,65.0,64.35,0.0,40141.59,40833.24,0.898,0
34467,2016,5,21,15,16.25,2,3,2,0.0,0,1,0,0,0,0,0,1,0,116,0,0,0,1,0,6,6,89.25,88.3575,0.0,40141.59,40833.24,0.898,1
15575,2016,1,1,2,18.5,2,3,2,0.0,0,1,0,0,0,0,0,1,0,25,0,0,0,1,1,6,6,91.0,90.09,0.0,47011.55,47683.79,0.933,0
15536,2016,6,26,21,20.5,0,1,2,0.0,0,1,0,0,0,0,0,1,0,28,0,1,0,1,1,3,3,126.0,124.74,0.0,55032.96,56803.47,0.92,1
22479,2016,3,13,24,17.75,1,3,2,0.0,0,1,0,0,0,0,0,1,1,49,0,0,0,1,0,6,6,62.8,62.172,0.0,49233.22,50302.07,0.926,0
23666,2016,2,8,20,18.5,0,1,2,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,6,6,81.0,80.19,0.0,28742.44,29668.86,0.842,0
17631,2016,6,24,9,15.25,1,3,2,0.0,0,1,0,0,0,0,0,1,0,73,0,0,0,1,1,6,6,126.9,125.631,0.0,40141.59,40833.24,0.898,1
10903,2016,12,52,23,23.5,0,1,2,0.0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,6,6,59.03,58.4397,0.0,28742.44,29668.86,0.842,0
24448,2016,3,11,10,23.5,0,3,2,0.0,0,1,0,0,0,0,0,1,0,86,0,0,0,1,1,6,3,58.0,57.42,0.0,44929.69,46213.27,0.913,0
15299,2016,6,23,3,22.75,1,2,2,0.0,0,1,0,0,0,0,0,1,0,21,0,1,0,1,1,3,3,109.23,108.13770000000001,0.0,47011.55,47683.79,0.933,0
11394,2016,11,48,20,23.5,2,1,2,0.0,0,1,0,0,0,0,0,0,4,214,0,1,0,1,1,6,6,85.0,84.15,0.0,44929.69,46213.27,0.913,0
33128,2016,10,41,3,14.5,1,1,1,0.0,0,1,0,0,0,0,0,1,0,10,0,2,0,1,1,6,2,145.0,143.55,0.0,40141.59,40833.24,0.898,0
36136,2016,11,47,16,15.0,1,4,2,0.0,0,1,0,0,0,0,0,1,2,44,0,1,0,1,0,6,6,74.8,74.05199999999999,0.0,40141.59,40833.24,0.898,0
32127,2016,5,21,16,21.5,1,1,2,0.0,0,1,0,0,0,0,0,1,0,114,0,0,0,1,1,6,6,94.5,93.55499999999999,0.0,47011.55,47683.79,0.933,0
19251,2016,12,53,29,18.0,2,5,2,0.0,0,1,0,0,0,0,0,1,0,42,0,0,0,1,1,2,2,146.29,144.8271,0.0,55032.96,56803.47,0.92,0
22278,2016,6,27,27,22.0,1,3,3,0.0,0,1,0,0,0,0,0,1,0,28,0,0,0,1,1,3,3,175.4,173.64600000000002,0.0,16358.39,15813.86,0.757,1
37152,2016,7,28,4,17.0,7,17,2,0.0,0,1,0,0,0,0,0,1,0,188,0,1,0,1,1,6,6,90.95,90.04050000000001,0.0,7199.25,7096.6,0.572,1
29262,2016,12,50,10,14.0,2,2,2,0.0,0,1,0,0,0,0,0,1,0,12,0,0,0,1,1,6,6,89.89,88.9911,0.0,23967.12,25625.57,0.783,1
27891,2016,11,49,27,20.0,2,0,2,0.0,0,1,0,0,0,0,0,1,0,76,0,1,0,1,0,6,6,79.2,78.408,0.0,13446.4,14455.0,0.743,1
19801,2016,10,41,2,21.75,2,2,2,0.0,0,1,0,0,0,0,0,1,0,19,0,0,0,1,1,6,6,85.0,84.15,0.0,40141.59,40833.24,0.898,0
22771,2016,6,25,17,14.5,2,3,2,0.0,0,1,0,0,0,0,0,1,1,131,0,1,0,1,1,6,6,105.74,104.6826,0.0,47011.55,47683.79,0.933,0
26862,2016,7,28,7,19.5,1,3,2,0.0,0,1,0,0,0,0,0,1,0,161,0,1,0,1,0,6,6,97.75,96.7725,0.0,16358.39,15813.86,0.757,1
21653,2016,10,42,9,22.5,2,0,2,1.0,0,1,0,0,0,0,0,1,0,124,0,0,0,1,1,3,3,135.0,133.65,0.0,34212.94,35436.81,0.901,1
23434,2016,2,7,11,20.5,0,3,2,0.0,0,1,0,0,0,0,0,1,0,7,0,1,0,1,2,6,5,116.0,114.84,0.0,40141.59,40833.24,0.898,0
28821,2016,6,25,16,23.25,1,3,2,0.0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,6,5,135.5,134.145,0.0,28742.44,29668.86,0.842,0
34831,2016,5,22,27,14.75,0,2,2,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,6,5,159.0,157.41,0.0,28742.44,29668.86,0.842,0
38813,2016,4,15,5,20.75,0,3,2,1.0,0,1,0,0,0,0,0,1,7,99,0,0,0,1,1,6,6,90.63,89.7237,0.0,28742.44,29668.86,0.842,0
35249,2016,8,35,23,18.0,2,5,2,0.0,0,1,0,0,0,0,0,1,0,43,0,0,0,1,1,3,3,103.84,102.80160000000001,0.0,25751.51,24061.1,0.813,1
23621,2016,12,52,20,22.25,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6,3,0.0,0.0,0.0,28742.44,29668.86,0.842,0
28151,2016,8,35,23,17.75,0,1,3,0.0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,3,3,225.0,222.75,0.0,40141.59,40833.24,0.898,0
24009,2016,1,4,17,16.5,2,1,2,0.0,0,1,0,0,0,0,0,0,1,2,0,2,0,1,1,3,2,126.33,125.0667,0.0,36194.87,36909.33,0.876,0
10333,2016,7,28,4,17.75,1,1,1,0.0,0,0,0,12,11,1,0,0,0,32,1,0,0,1,1,6,6,67.0,66.33,0.0,28742.44,29668.86,0.842,0
18925,2016,12,50,6,22.0,2,5,1,0.0,0,1,0,0,0,0,0,1,0,14,0,0,0,1,1,6,6,90.1,89.199,0.0,16358.39,15813.86,0.757,1
13614,2016,11,48,20,19.0,1,0,1,0.0,0,1,0,0,0,0,0,1,0,24,0,0,0,1,1,6,6,96.0,95.03999999999999,0.0,49233.22,50302.07,0.926,0
32183,2016,5,20,9,21.5,1,0,2,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6,6,89.0,88.11,0.0,25612.26,26856.04,0.855,0
27702,2016,4,16,16,14.25,2,1,2,2.0,0,1,0,0,0,0,0,1,0,70,0,2,0,1,1,1,1,174.3,172.55700000000002,0.0,40141.59,40833.24,0.898,0
33477,2016,3,11,11,17.0,0,1,2,0.0,0,1,0,0,0,0,0,1,0,39,0,0,0,1,0,6,6,71.1,70.389,0.0,28742.44,29668.86,0.842,1
18403,2016,5,19,6,21.5,2,3,2,0.0,0,1,0,0,0,0,0,1,0,183,0,1,0,1,1,6,6,100.3,99.297,0.0,40141.59,40833.24,0.898,0
20993,2016,9,37,9,15.25,0,2,3,0.0,0,1,0,0,0,0,0,1,0,84,0,2,0,1,1,3,3,177.3,175.52700000000002,0.0,33525.74,34912.48,0.885,1
10138,2016,4,18,24,23.5,1,0,2,0.0,0,1,0,0,0,0,0,1,0,8,0,0,0,1,1,6,6,101.0,99.99,0.0,28742.44,29668.86,0.842,1
31280,2016,2,6,3,20.75,0,3,2,0.0,0,1,0,0,0,0,0,1,0,14,0,1,0,1,1,3,3,82.8,81.972,0.0,28742.44,29668.86,0.842,0
22889,2016,10,44,29,20.25,2,1,2,0.0,0,1,0,0,0,0,0,1,0,7,0,1,0,1,1,6,6,146.67,145.20329999999998,0.0,6009.99,6072.48,0.527,0
13499,2016,10,41,4,19.5,0,3,2,0.0,0,1,0,0,0,0,0,1,0,48,0,1,0,1,0,6,6,108.0,106.92,0.0,36194.87,36909.33,0.876,1
30744,2016,4,17,21,23.75,0,0,2,0.0,0,1,0,0,0,0,0,1,0,166,0,2,1,1,1,5,6,0.0,0.0,0.0,28742.44,29668.86,0.842,0
27848,2016,2,6,3,21.75,8,21,1,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,3,3,107.28,106.2072,0.0,7199.25,7096.6,0.572,1
29003,2016,6,26,23,16.0,0,1,2,0.0,0,1,0,0,0,0,0,1,0,8,1,1,0,1,1,6,6,100.0,99.0,0.0,33587.58,35760.73,0.898,0
28643,2016,11,45,5,17.75,1,1,2,0.0,0,1,0,0,0,0,0,1,2,126,0,0,0,1,0,6,6,79.2,78.408,0.0,61902.13,63938.99,0.942,0
31567,2016,2,7,12,19.0,0,2,3,0.0,0,1,0,0,0,0,0,1,0,9,0,1,0,1,1,3,3,139.0,137.60999999999999,0.0,28742.44,29668.86,0.842,0
21323,2016,4,18,30,16.0,2,1,2,0.0,0,1,0,0,0,0,0,1,0,89,0,1,0,1,1,3,3,159.3,157.70700000000002,0.0,61902.13,63938.99,0.942,1
31181,2016,6,24,9,22.5,0,3,2,0.0,0,1,0,0,0,0,0,1,0,113,0,1,0,1,0,6,6,116.1,114.939,0.0,40141.59,40833.24,0.898,0
18505,2016,5,22,23,21.75,1,1,2,0.0,0,1,0,0,0,0,0,1,0,30,0,1,0,1,1,6,5,117.9,116.721,0.0,40141.59,40833.24,0.898,0
24446,2016,5,20,13,19.75,0,2,2,1.0,0,1,0,0,0,0,0,1,0,91,0,0,0,1,1,6,6,185.85,183.9915,0.0,33525.74,34912.48,0.885,1
31295,2016,3,12,18,14.0,0,1,1,0.0,0,1,0,0,0,0,0,1,1,16,0,1,0,1,1,5,5,103.0,101.97,0.0,33525.74,34912.48,0.885,0
19692,2016,10,42,10,16.0,1,3,2,0.0,0,1,0,0,0,0,0,1,0,180,0,0,0,1,0,6,6,102.6,101.574,0.0,41259.0,42509.89,0.918,1
26046,2016,4,17,22,23.75,2,2,3,0.0,0,1,0,0,0,0,0,1,0,55,0,2,0,1,1,6,3,130.05,128.7495,0.0,36194.87,36909.33,0.876,0
31874,2016,2,7,8,19.5,1,4,3,0.0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,1,3,3,133.6,132.26399999999998,0.0,13446.4,14455.0,0.743,0
11333,2016,6,24,9,23.5,0,3,2,0.0,0,1,0,0,0,0,0,1,0,87,0,1,0,1,1,6,6,97.71,96.73289999999999,0.0,41259.0,42509.89,0.918,0
38248,2016,5,22,24,22.5,0,1,1,0.0,0,1,0,0,0,0,0,1,0,8,0,0,0,1,1,6,6,114.75,113.60249999999999,0.0,36194.87,36909.33,0.876,0
14493,2016,2,9,27,22.75,0,1,2,0.0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,6,6,102.0,100.98,0.0,41259.0,42509.89,0.918,0
23709,2016,5,19,6,20.25,2,3,2,0.0,0,1,0,0,0,0,0,1,0,127,0,0,0,1,1,6,6,99.45,98.4555,0.0,41259.0,42509.89,0.918,0
10915,2016,3,11,10,14.75,0,3,2,0.0,0,1,0,0,0,0,0,1,0,23,0,0,0,1,0,6,6,82.33,81.5067,0.0,40141.59,40833.24,0.898,0
37242,2016,9,37,5,15.75,1,2,2,0.0,0,1,0,0,0,0,0,1,0,12,0,0,0,1,1,3,3,154.0,152.46,0.0,28742.44,29668.86,0.842,1
28893,2016,6,26,24,17.25,0,2,1,0.0,0,1,0,0,0,0,0,1,0,192,0,0,0,1,1,6,2,95.0,94.05,0.0,28742.44,29668.86,0.842,0
22825,2016,9,37,4,21.5,2,5,0,2.0,0,1,0,0,0,0,0,1,0,40,0,0,0,1,1,5,5,106.9,105.831,0.0,47011.55,47683.79,0.933,1
38756,2016,1,4,23,18.25,0,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,80.0,79.2,0.0,44929.69,46213.27,0.913,0
35294,2016,9,37,8,16.5,0,1,2,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6,6,149.0,147.51,0.0,16358.39,15813.86,0.757,0
18239,2016,7,30,19,16.5,0,2,1,0.0,0,1,0,0,0,0,0,1,0,20,0,1,0,1,1,6,6,91.63,90.71369999999999,0.0,49233.22,50302.07,0.926,0
19572,2016,10,43,20,18.0,0,2,2,0.0,0,1,0,0,0,0,0,1,0,191,0,1,0,1,1,6,6,96.3,95.337,0.0,28742.44,29668.86,0.842,0
20683,2016,5,20,9,14.5,1,3,2,0.0,0,1,0,0,0,0,0,1,0,114,0,0,0,1,1,3,3,107.95,106.8705,0.0,49233.22,50302.07,0.926,1
36912,2016,8,34,15,23.75,1,2,2,0.0,0,1,0,0,0,0,0,1,0,34,0,1,0,1,0,6,6,134.1,132.759,0.0,28742.44,29668.86,0.842,0
33056,2016,3,10,2,18.75,0,1,1,0.0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,6,6,65.0,64.35,0.0,28742.44,29668.86,0.842,0
38206,2016,5,21,21,18.25,0,1,2,0.0,0,1,0,0,0,0,0,1,1,49,0,0,0,1,2,3,3,172.8,171.072,0.0,28742.44,29668.86,0.842,1
11926,2016,12,50,6,18.25,0,4,2,1.0,0,1,0,0,0,0,0,1,0,51,0,2,0,1,1,6,6,103.7,102.663,0.0,33525.74,34912.48,0.885,1
19360,2016,2,6,2,23.25,1,5,2,2.0,0,1,0,0,0,0,0,1,0,30,0,0,0,1,1,5,5,139.05,137.6595,0.0,16358.39,15813.86,0.757,1
28669,2016,9,36,1,15.0,0,3,2,0.0,0,1,0,0,0,0,0,0,0,107,0,0,0,1,1,6,6,118.8,117.612,0.0,28742.44,29668.86,0.842,1
20605,2016,6,27,28,20.25,0,2,2,0.0,0,1,0,0,0,0,0,1,1,76,0,1,0,1,1,3,3,131.4,130.086,0.0,49233.22,50302.07,0.926,0
39121,2016,3,12,13,16.25,2,3,2,0.0,0,1,0,0,0,0,0,1,0,71,0,0,0,1,1,6,6,73.95,73.2105,0.0,47011.55,47683.79,0.933,1
20639,2016,1,5,27,17.0,0,3,1,0.0,0,1,0,0,0,0,0,1,3,58,0,1,0,1,1,6,6,80.67,79.8633,0.0,28742.44,29668.86,0.842,1
15714,2016,10,44,23,19.0,2,3,2,0.0,0,1,0,0,0,0,0,1,0,144,0,2,0,1,0,6,3,91.26,90.34740000000001,0.0,41259.0,42509.89,0.918,0
26070,2016,6,26,23,20.25,0,1,3,0.0,0,1,0,0,0,0,0,1,0,13,0,2,0,1,1,3,3,127.0,125.73,0.0,41259.0,42509.89,0.918,0
37487,2016,9,40,28,21.75,0,2,2,1.0,0,1,0,0,0,0,0,1,0,13,1,3,0,1,2,6,6,190.93,189.0207,0.0,28742.44,29668.86,0.842,0
